Rank,Name,Position,School
1,Travis Hunter,ATH,Colorado
2,Abdul Carter,EDGE,Penn State
3,Cam Ward,QB,Miami (Fla.)
4,Mason Graham,DL,Michigan
5,Tetairoa McMillan,WR,Arizona
6,Will Campbell,OT,LSU
7,Jalon Walker,LB,Georgia
8,Armand Membou,OT,Missouri
9,Kelvin Banks Jr.,OT,Texas
10,Ashton Jeanty,RB,Boise St.
11,Mike Green,EDGE,Marshall
12,Colston Loveland,TE,Michigan
13,Jihaad Campbell,LB,Alabama
14,Luther Burden III,WR,Missouri
15,Walter Nolen,DL,Ole Miss
16,Josh Simmons,OT,Ohio State
17,Will Johnson,CB,Michigan
18,Malaki Starks,S,Georgia
19,Nick Emmanwori,S,South Carolina
20,James Pearce Jr.,EDGE,Tennessee
21,Jahdae Barron,CB,Texas
22,Matthew Golden,WR,Texas
23,Tyler Booker,IOL,Alabama
24,Mykel Williams,EDGE,Georgia
25,Derrick Harmon,DL,Oregon
26,Maxwell Hairston,CB,Kentucky
27,Grey Zabel,IOL,N. Dakota St.
28,Shedeur Sanders,QB,Colorado
29,Emeka Egbuka,WR,Ohio State
30,Tyler Warren,TE,Penn State
31,Josh Conerly Jr.,OT,Oregon
32,Shemar Stewart,EDGE,Texas A&M
33,Shavon Revel Jr.,CB,East Carolina
34,Benjamin Morrison,CB,Notre Dame
35,Nic Scourton,EDGE,Texas A&M
36,Kenneth Grant,DL,Michigan
37,Trey Amos,CB,Ole Miss
38,Omarion Hampton,RB,North Carolina
39,Donovan Jackson,IOL,Ohio State
40,Donovan Ezeiruaku,EDGE,Boston College
41,Tyleik Williams,DL,Ohio State
42,Darius Alexander,DL,Toledo
43,Jayden Higgins,WR,Iowa St.
44,Aireontae Ersery,OT,Minnesota
45,Carson Schwesinger,LB,UCLA
46,JT Tuimoloau,EDGE,Ohio State
47,Deone Walker,DL,Kentucky
48,Azareye'h Thomas,CB,Florida State
49,Kevin Winston Jr.,S,Penn State
50,Jaxson Dart,QB,Ole Miss
51,T.J. Sanders,DL,South Carolina
52,Landon Jackson,EDGE,Arkansas
53,Jack Sawyer,EDGE,Ohio State
54,Harold Fannin Jr.,TE,Bowling Green
55,Wyatt Milum,OT,West Virginia
56,Omarr Norman-Lott,DL,Tennessee
57,Jonah Savaiinaea,IOL,Arizona
58,CJ West,DL,Indiana
59,Jared Ivey,EDGE,Ole Miss
60,Mason Taylor,TE,LSU
61,Bradyn Swinson,EDGE,LSU
62,Darien Porter,CB,Iowa St.
63,Logan Brown,OT,Kansas
64,Isaiah Bond,WR,Texas
65,Alfred Collins,DL,Texas
66,Jalen Royals,WR,Utah St.
67,Charles Grant,OT,William & Mary
68,Ozzy Trapilo,OT,Boston College
69,Cameron Williams,OT,Texas
70,Tre Harris,WR,Ole Miss
71,Jack Bech,WR,TCU
72,Tai Felton,WR,Maryland
73,Princely Umanmielen,EDGE,Ole Miss
74,Jared Wilson,IOL,Georgia
75,Vernon Broughton,DL,Texas
76,Marcus Mbow,OT,Purdue
77,Bilhal Kone,CB,W. Michigan
78,Emery Jones Jr.,OL,LSU
79,Sai'vion Jones,DL,LSU
80,Joshua Farmer,DL,Florida State
81,Xavier Watts,S,Notre Dame
82,Elijah Arroyo,TE,Miami (Fla.)
83,Oluwafemi Oladejo,EDGE,UCLA
84,Terrance Ferguson,TE,Oregon
85,Elic Ayomanor,WR,Stanford
86,TreVeyon Henderson,RB,Ohio State
87,David Walker,EDGE,Cent. Ark.
88,Kyle Williams,WR,Washington St.
89,Quinshon Judkins,RB,Ohio State
90,Josaiah Stewart,EDGE,Michigan
91,Jalen Travis,OT,Iowa St.
92,Bhayshul Tuten,RB,Virginia Tech
93,Jaylin Smith,CB,USC
94,Jalen Milroe,QB,Alabama
95,Kyle Kennard,EDGE,South Carolina
96,Jacob Parrish,CB,Kansas State
97,Jaylin Noel,WR,Iowa St.
98,Miles Frazier,IOL,LSU
99,Will Howard,QB,Ohio State
100,Zah Frazier,CB,UTSA
101,Aeneas Peebles,DL,Virginia Tech
102,Tory Horton,WR,Colorado St.
103,Kaleb Johnson,RB,Iowa
104,Shemar Turner,DL,Texas A&M
105,Tate Ratledge,IOL,Georgia
106,RJ Harvey,RB,UCF
107,Quinn Ewers,QB,Texas
108,Kyle McCord,QB,Syracuse
109,Gunnar Helm,TE,Texas
110,Andrew Mukuba,S,Texas
111,Jarquez Hunter,RB,Auburn
112,Demetrius Knight Jr.,LB,South Carolina
113,Anthony Belton,IOL,NC State
114,Brashard Smith,RB,SMU
115,Jordan Burch,DL,Oregon
116,Denzel Burke,CB,Ohio State
117,Tyler Shough,QB,Louisville
118,Tyler Baron,EDGE,Miami (Fla.)
119,Que Robinson,EDGE,Alabama
120,JJ Pegues,DL,Ole Miss
121,Nohl Williams,CB,California
122,Elijah Roberts,EDGE,SMU
123,Jordan Hancock,CB,Ohio State
124,Zy Alexander,CB,LSU
125,Justin Walley,CB,Minnesota
126,Danny Stutsman,LB,Oklahoma
127,Clay Webb,IOL,Jacksonville St.
128,Chris Paul Jr.,LB,Ole Miss
129,Ajani Cornelius,IOL,Oregon
130,Jonas Sanker,S,Virginia
131,Damien Martinez,RB,Miami (Fla.)
132,Barryn Sorrell,EDGE,Texas
133,Cam Skattebo,RB,Arizona St.
134,Savion Williams,WR,TCU
135,Ty Robinson,DL,Nebraska
136,Quincy Riley,CB,Louisville
137,Ashton Gillotte,EDGE,Louisville
138,Tez Johnson,WR,Oregon
139,Lathan Ransom,S,Ohio State
140,DJ Giddens,RB,Kansas State
141,Alijah Huzzie,CB,North Carolina
142,Jaylin Lane,WR,Virginia Tech
143,Jah Joyner,EDGE,Minnesota
144,CJ Dippre,TE,Alabama
145,Jack Kiser,LB,Notre Dame
146,Dylan Sampson,RB,Tennessee
147,Jaylen Reed,S,Penn State
148,Isaac TeSlaa,WR,Arkansas
149,Dylan Fairchild,IOL,Georgia
150,Tahj Brooks,RB,Texas Tech
151,Kobe King,LB,Penn State
152,Barrett Carter,LB,Clemson
153,Tonka Hemingway,DL,South Carolina
154,Caleb Ransaw,CB,Tulane
155,Elijhah Badger,WR,Florida
156,Jamon Dumas-Johnson,LB,Kentucky
157,Korie Black,CB,Oklahoma State
158,Howard Cross III,DL,Notre Dame
159,Antwaun Powell-Ryland,EDGE,Virginia Tech
160,Upton Stout,CB,W. Kentucky
161,Dillon Gabriel,QB,Oregon
162,Caleb Rogers,OT,Texas Tech
163,Jordan James,RB,Oregon
164,Ollie Gordon II,RB,Oklahoma State
165,R.J. Mickens,S,Clemson
166,Kalel Mullings,RB,Michigan
167,Carson Vinson,OT,Alabama A&M
168,Cobee Bryant,CB,Kansas
169,Dorian Strong,CB,Virginia Tech
170,Isaiah Neyor,WR,Nebraska
171,Simeon Barrow Jr.,DL,Miami (Fla.)
172,Collin Oliver,LB,Oklahoma State
173,Kyle Monangai,RB,Rutgers
174,Corey Kiner,RB,Cincinnati
175,John Williams,OT,Cincinnati
176,Kobe Hudson,WR,UCF
177,Dont'e Thornton Jr.,WR,Tennessee
178,Oronde Gadsden II,TE,Syracuse
179,Mac McWilliams,CB,UCF
180,Jermari Harris,CB,Iowa
181,Pat Bryant,WR,Illinois
182,Jeffrey Bassa,LB,Oregon
183,Kaimon Rucker,EDGE,North Carolina
184,Mello Dotson,CB,Kansas
185,Trevor Etienne,RB,Georgia
186,Ben Yurosek,TE,Georgia
187,Jacory Croskey-Merritt,RB,Arizona
188,Jordan Phillips,DL,Maryland
189,Billy Bowman Jr.,S,Oklahoma
190,Francisco Mauigoa,LB,Miami (Fla.)
191,Robert Longerbeam,CB,Rutgers
192,Joshua Gray,OT,Oregon State
193,Tommi Hill,CB,Nebraska
194,Chase Lundt,OT,UConn
195,Cody Simon,LB,Ohio State
196,LeQuint Allen,RB,Syracuse
