Rank,Position,Name,School,PFF Grade
1,CB/WR,Travis Hunter,Colorado,N/A
2,ED,Abdul Carter,Penn State,N/A
3,HB,Ashton Jeanty,Boise State,N/A
4,WR,Tetairoa McMillan,Arizona,N/A
5,DI,Mason Graham,Michigan,N/A
6,T,Will Campbell,LSU,N/A
7,DI,Walter Nolen,Mississippi,N/A
8,S,Malaki Starks,Georgia,N/A
9,T,Armand Membou,Missouri,N/A
10,ED,Mike Green,Marshall,N/A
11,CB,Jahdae Barron,Texas,N/A
12,TE,Tyler Warren,Penn State,N/A
13,LB,Jihaad Campbell,Alabama,N/A
14,CB,Will Johnson,Michigan,N/A
15,WR,Luther Burden III,Missouri,N/A
16,TE,Colston Loveland,Michigan,N/A
17,ED,Donovan Ezeiruaku,Boston College,N/A
18,T,Josh Simmons,Ohio State,N/A
19,WR,Emeka Egbuka,Ohio State,N/A
20,QB,Cameron Ward,Miami,N/A
21,DI,Kenneth Grant,Michigan,N/A
24,WR,Matthew Golden,Texas,N/A
25,LB,Jalon Walker,Georgia,N/A
26,HB,Omarion Hampton,North Carolina,N/A
27,T,Grey Zabel,North Dakota State,N/A
28,CB,Trey Amos,Mississippi,N/A
29,ED,Nic Scourton,Texas A&M,N/A
31,ED,Shemar Stewart,Texas A&M,N/A
32,CB,Benjamin Morrison,Notre Dame,N/A
34,DI,Omarr Norman-Lott,Tennessee,N/A
35,WR,Elic Ayomanor,Stanford,N/A
36,S,Xavier Watts,Notre Dame,N/A
37,WR,Jayden Higgins,Iowa State,N/A
38,ED,Mykel Williams,Georgia,N/A
39,ED,Landon Jackson,Arkansas,N/A
40,WR,Jack Bech,TCU,N/A
41,DI,Tyleik Williams,Ohio State,N/A
42,DI,Derrick Harmon,Oregon,N/A
43,CB,Maxwell Hairston,Kentucky,N/A
44,CB,Shavon Revel,East Carolina,N/A
45,QB,Shedeur Sanders,Colorado,N/A
46,T,Donovan Jackson,Ohio State,N/A
47,ED,Bradyn Swinson,LSU,N/A
48,G,Tyler Booker,Alabama,N/A
49,DI,Darius Alexander,Toledo,N/A
50,ED,Princely Umanmielen,Mississippi,N/A
51,HB,Cameron Skattebo,Arizona State,N/A
53,LB,Carson Schwesinger,UCLA,N/A
55,HB,Dylan Sampson,Tennessee,N/A
56,ED,JT Tuimoloau,Ohio State,N/A
57,HB,Kaleb Johnson,Iowa,N/A
58,HB,TreVeyon Henderson,Ohio State,N/A
59,TE,Elijah Arroyo,Miami,N/A
60,WR,Jalen Royals,Utah State,N/A
61,ED,Jared Ivey,Mississippi,N/A
62,S,Andrew Mukuba,Texas,N/A
63,WR,Kyle Williams,Washington State,N/A
64,CB,Darien Porter,Iowa State,N/A
65,HB,Quinshon Judkins,Ohio State,N/A
66,WR,Tre Harris,Mississippi,N/A
